Gene	Disease	database_assertedBy	score_DisGeNet
entrez.11330	mondo.0011986	disgenet	0.32
entrez.63036	mondo.0032837	omim	
entrez.63036	mondo.0005044	disgenet	0.3
entrez.497657	mondo.0012194	omim	
entrez.104326187	mondo.0014476	omim	
entrez.1187	mondo.0000909	omim, disgenet	0.4
entrez.1187	mondo.0005044	disgenet	0.32
entrez.1188	mondo.0011822	omim, disgenet	0.8
entrez.1188	mondo.0000909	omim, disgenet	0.3
entrez.1188	mondo.0001909	disgenet	0.31
entrez.1188	mondo.0015231	disgenet	0.4
entrez.1188	mondo.0009904	disgenet	0.36
entrez.1969	mondo.0007288	omim	
entrez.1969	mondo.0004992	disgenet	0.32
entrez.1969	mondo.0018997	disgenet	0.31
entrez.1969	mondo.0005097	disgenet	0.4
entrez.1969	mondo.0007893	disgenet	0.31
entrez.1969	mondo.0021548	disgenet	0.3
entrez.1969	mondo.0005036	disgenet	0.3
entrez.1969	mondo.0020376	disgenet	0.3
entrez.23400	mondo.0011706	omim, disgenet	1.0
entrez.23400	mondo.0014975	omim, disgenet	0.7
entrez.23400	mondo.0015674	disgenet	0.3
entrez.23400	mondo.0019260	disgenet	0.31
entrez.23400	mondo.0016295	disgenet	0.34
entrez.23400	mondo.0005180	disgenet	0.6
entrez.23400	mondo.0006966	disgenet	0.3
entrez.23400	mondo.0019261	disgenet	0.3
entrez.23400	mondo.0017638	disgenet	0.3
entrez.23400	mondo.0008083	disgenet	0.3
entrez.23400	mondo.0010820	disgenet	0.31
entrez.6390	mondo.0011719	omim, disgenet	0.7
entrez.6390	mondo.0008233	omim	
entrez.6390	mondo.0007273	omim, disgenet	0.61
entrez.6390	mondo.0011740	omim, disgenet	0.65
entrez.6390	mondo.0004992	disgenet	0.4
entrez.6390	mondo.0016063	disgenet	0.34
entrez.6390	mondo.0019046	disgenet	0.32
entrez.6390	mondo.0000448	disgenet	0.7
entrez.6390	mondo.0021511	disgenet	0.3
entrez.6390	mondo.0002120	disgenet	0.3
entrez.6390	mondo.0003606	disgenet	0.3
entrez.6390	mondo.0004069	disgenet	0.31
entrez.6390	mondo.0000550	disgenet	0.45
entrez.6390	mondo.0012878	disgenet	0.3
entrez.51702	mondo.0020736	omim	
entrez.51702	mondo.0008621	disgenet	0.7
entrez.23569	mondo.0008383	omim, disgenet	0.5
entrez.23569	mondo.0004993	disgenet	0.3
entrez.23569	mondo.0006406	disgenet	0.3
entrez.23569	mondo.0005617	disgenet	0.31
entrez.353238	mondo.0014978	omim, disgenet	0.6
entrez.5081	mondo.0032821	omim	
entrez.5081	mondo.0009994	omim, disgenet	0.7
entrez.8659	mondo.0009401	omim, disgenet	0.73
entrez.23065	mondo.0014811	omim, disgenet	0.7
entrez.5320	mondo.0023113	omim	
entrez.5320	mondo.0004985	disgenet	0.31
entrez.5320	mondo.0024644	disgenet	0.3
entrez.5322	mondo.0009235	omim, disgenet	0.7
entrez.100271922	mondo.0012965	omim	
entrez.65018	mondo.0011613	omim	
entrez.65018	mondo.0005072	disgenet	0.36
entrez.65018	mondo.0005180	disgenet	0.8
entrez.65018	mondo.0018177	disgenet	0.3
entrez.65018	mondo.0010820	disgenet	0.53
entrez.1650	mondo.0013789	omim, disgenet	0.7
entrez.1650	mondo.0015286	disgenet	0.31
entrez.1889	mondo.0007781	omim	
entrez.1889	mondo.0013473	omim, disgenet	0.6
entrez.1889	mondo.0018309	disgenet	0.61
entrez.1889	mondo.0005044	disgenet	0.63
entrez.1889	mondo.0001134	disgenet	0.31
entrez.249	mondo.0007798	omim, disgenet	0.94
entrez.249	mondo.0009428	omim, disgenet	0.92
entrez.249	mondo.0009427	omim, disgenet	1.0
entrez.249	mondo.0015469	disgenet	0.4
entrez.249	mondo.0006964	disgenet	0.3
entrez.249	mondo.0018570	disgenet	0.5
entrez.249	mondo.0005154	disgenet	0.31
entrez.249	mondo.0019019	disgenet	0.31
entrez.249	mondo.0018891	disgenet	0.3
entrez.249	mondo.0001386	disgenet	0.3
entrez.249	mondo.0016607	disgenet	0.81
entrez.249	mondo.0016605	disgenet	0.8
entrez.3339	mondo.0009140	omim	
entrez.3339	mondo.0009717	omim, disgenet	0.97
entrez.3339	mondo.0008779	disgenet	0.4
entrez.3339	mondo.0015225	disgenet	0.4
entrez.3339	mondo.0010650	disgenet	0.3
entrez.3339	mondo.0016648	disgenet	0.3
entrez.3339	mondo.0005516	disgenet	0.42
entrez.3339	mondo.0019019	disgenet	0.3
entrez.3339	mondo.0016761	disgenet	0.3
entrez.998	mondo.0014757	omim, disgenet	0.7
entrez.998	mondo.0004993	disgenet	0.3
entrez.998	mondo.0005109	disgenet	0.32
entrez.998	mondo.0005833	disgenet	0.3
entrez.998	mondo.0006406	disgenet	0.3
entrez.998	mondo.0005617	disgenet	0.3
entrez.54361	mondo.0012734	omim, disgenet	0.7
entrez.54361	mondo.0008019	omim, disgenet	0.7
entrez.54361	mondo.0005240	disgenet	0.3
entrez.54361	mondo.0008315	disgenet	0.3
entrez.712	mondo.0013343	omim, disgenet	0.4
entrez.712	mondo.0005342	disgenet	0.3
entrez.712	mondo.0018904	disgenet	0.3
